# Generated by James A. Foster when solving HW7. 
patientID	Lactobacillus_crispatus	Lactobacillus_iners	Lactobacillus_gasseri	Lactobacillus_jensenii	Atopobium_vaginae	Megasphaera_sp._type_1	Streptococcus_anginosus	Prevotella_genogroup_3	Clostridiales	Enterococcus_faecalis	Corynebacterium_accolens	Total	Shannon	Simpson
EM01	5.452452430864473e-05	0.49042459174517766	0.00019917854081505032	6.739150865901448e-05	0.4347931176083561	2.172401807438304e-05	0.005975340978528758	0.05410007259902548	0.005562795077203718	2.1577766269635767e-05	0.008779685633581514	42527	0.9786649695408163	2.311422943075475
EM02	0.012124111693843148	0.6465530062026645	0.001161266197044094	0.0	0.13512240447787321	0.02102678412158415	0.0007388107373285889	0.1617759688055831	0.015516893191309965	0.00016129032258064516	0.005819464250188544	29019	1.0948943886277847	2.1582982325434874
EM03	0.8684376282822233	0.12776912200139245	0.0033250306019559535	0.00037281039524870643	4.0870771135797585e-05	0.0	2.755731922398589e-05	0.0	0.0	0.0	2.698062881974959e-05	52892	0.4150036461564956	1.2978213745648937
EM04	0.0003031934894404761	3.407243430983075e-05	0.00016216283982946835	0.9244290022999222	0.0	0.0	0.07209032770905757	0.0	3.71415837171297e-05	0.0	0.0029440996437232626	64838	0.29066337142911014	1.16309258222257
EM05	0.0004502599023643175	6.109481915933529e-05	3.0547409579667644e-05	0.9992901602649432	0.0	0.0	0.0	0.0	0.0	0.0	0.0001679376039535241	28348	0.014262497638101074	1.0014189505516964
EM06	0.00015421763255435046	0.0008512448400841742	0.9987300629079077	1.6278161218908712e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00024819645823482834	57646	0.01847452741402032	1.0025418960188746
EM07	0.8610321749547047	0.11114030519974312	0.007964817778722457	0.019425789421281255	0.00017956775277133474	0.0	3.637373061024579e-05	0.0	7.789088978242163e-05	0.0	0.000143080272384402	59531	0.4979669337102981	1.3259584699244777
EM08	0.9973715188301024	0.0008036854380364278	1.9394879751745538e-05	0.00017296077292673387	0.0	0.0	0.0	2.0318595578673603e-05	0.00018644747970709258	1.811331691059267e-05	0.0014075606869863844	47272	0.028486878395869945	1.0052730193704045
EM09	0.7047908940400545	0.281357515203605	0.008030510920844388	0.004185015229642585	0.0	0.0	0.00024066778369298035	0.0	0.0002523630658940177	0.00018799595371715835	0.0009550378025493734	43936	0.6830901651149952	1.7361794484597568
EM10	0.0006730458911157122	0.9956596114864998	0.00011876508144407618	0.00041503723213936995	0.0	0.0	6.698464917682476e-05	0.0	1.812382195157315e-05	6.500231060081225e-05	0.002983429527071777	50657	0.03933802288929097	1.0087258709758258
EM11	0.9945956649687406	0.0008029387535098636	0.0	0.000714006097500831	0.0	0.0	0.0	0.0	1.3787778513125965e-05	1.5094795314575534e-05	0.003858507606420888	62864	0.045257799284682224	1.0108784881826103
EM12	0.00042636388232861465	0.5267836337804543	0.0	0.4724152557962396	4.487894553978073e-05	0.0	0.0	0.0	0.00013957017901192659	3.8493285745030026e-05	0.0001518041306808751	47252	0.705409730793107	1.9972860934670689
EM13	0.00048220588298805267	0.12455333504053874	0.0	9.324149934841617e-05	0.643290404427475	0.060559601123045606	0.0	0.007245391635307796	0.16362355213902377	0.0	0.00015226825227264228	22560	1.0559634425848794	2.1747121560493903
EM14	0.8917370841537964	0.0902933029164819	0.0	0.01687994188545618	0.0	0.0	0.0	0.0	0.0	0.0	0.0010896710442654834	38252	0.40235014646818906	1.2443444116588964
EM15	0.9216548017934871	0.065412253065193	0.0	0.012625844095745856	0.00012775373447101096	4.4972117287281886e-05	0.0	0.0	3.599302048877662e-05	0.0	9.83821733268521e-05	47831	0.31829019534939706	1.1711140808107339
